,Company,Project,Cost,URL,rate_card_id
1881,Deloitte LLP,"SAP Analytics Cloud (SAC) - Planning, Design, Integration, Implementation and Support",390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/121993363756380,
1882,PricewaterhouseCoopers (LLP) PwC,PwC Oracle Custom Application Development Services,"650 to 2,450 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/260338971585306,
1883,Cognizant Worldwide Limited,Data Integration and ETL Testing Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/829113581609117,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
1884,KPMG LLP,Data Remediation,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/378915392315594,KPMGLLP_341058641615377-sfia-rate-card-2022-05-17-1049.pdf
1885,North Highland,Information Management: Master Data Management,"495 to 2,250 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/370147568062335,NorthHighland_522494869018764-sfia-rate-card-2022-05-18-0051.pdf
1886,Ernst & Young LLP (EY),Cloud Third Party Governance Review,"200 to 2,600 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/285006891493183,
1887,Capgemini UK plc,Digital Experience Platforms for Customer Engagement,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/875321639206507,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
1888,PricewaterhouseCoopers (LLP) PwC,Connected Digital Enterprise - Transforming Businesses by Leveraging Digital Assets,"650 to 2,450 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/407573457839152,
1889,Deloitte LLP,Big Data Analytics,390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/237277822345711,
1890,Ernst & Young LLP (EY),Customer Analytics,"1,030 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/910200217064688,
1891,North Highland,Business Engagement & Change Management for Cloud Services (CM),"495 to 2,250 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/128639110336931,NorthHighland_522494869018764-sfia-rate-card-2022-05-18-0051.pdf
1892,KPMG LLP,Cloud Due Diligence and Third Party Supplier Assurance,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/482071595846734,KPMGLLP_341058641615377-sfia-rate-card-2022-05-17-1049.pdf
1893,PricewaterhouseCoopers (LLP) PwC,PwC Strategic Supplier Relationship Management,"650 to 2,450 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/237875277483659,
1894,Capgemini UK plc,"Atlassian Software Consolidation, Migration and Scaling Services",312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/596812675326691,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
1895,Deloitte LLP,Population Health Capability Maturity Assessment,390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/964362422430444,
1896,Cognizant Worldwide Limited,Big Data Support Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/579227413223122,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
1897,Deloitte LLP,Cloud Enabled Digital Workplace,390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/349014250440096,
1898,PricewaterhouseCoopers (LLP) PwC,PwC Procurement Analytics Services,"650 to 2,450 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/847708651217237,
1899,KPMG LLP,Technology Contract & Service Provider Review,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/870713247356192,KPMGLLP_341058641615377-sfia-rate-card-2022-05-17-1049.pdf
1900,Capgemini UK plc,OpenText Documentum Solutions Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/208238503967185,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
1901,North Highland,Measuring Value and Metrics,"495 to 2,250 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/694227758874714,NorthHighland_522494869018764-sfia-rate-card-2022-05-18-0051.pdf
1902,PricewaterhouseCoopers (LLP) PwC,PwC IT Sourcing Services,"650 to 2,450 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/141375221985643,
1903,Cognizant Worldwide Limited,Amazon Cloud Operate Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/259664136022619,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
1904,North Highland,Office 365 Adoption (CM),"495 to 2,250 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/948863534625494,NorthHighland_522494869018764-sfia-rate-card-2022-05-18-0051.pdf
1905,Capgemini UK plc,Identity and Access Management (IAM / IDAM) Professional Services,333 a person a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/255397711185904,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
1906,Deloitte LLP,Cloud Networking and Connectivity,390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/890198633021602,
1907,KPMG LLP,Integrated Business Transformation service,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/786628812210059,KPMGLLP_341058641615377-sfia-rate-card-2022-05-17-1049.pdf
1908,PricewaterhouseCoopers (LLP) PwC,PwC Application Management Services,"450 to 1,900 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/833648753296780,
1909,Deloitte LLP,Cloud Mass Migration,390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/366245106419801,
1910,Cognizant Worldwide Limited,Innovation Delivery Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/350700515286494,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
1911,North Highland,Evolving HR through Agility,"495 to 2,250 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/896651405727493,NorthHighland_522494869018764-sfia-rate-card-2022-05-18-0051.pdf
1912,Capgemini UK plc,Oracle Digital Recruitment,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/994587677438211,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
1913,PricewaterhouseCoopers (LLP) PwC,PwC Cloud Readiness Assessment,"650 to 2,450 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/718818131573426,
1914,Capgemini UK plc,Oracle Digital Assistant & Chatbot Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/487538379263625,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
1915,Deloitte LLP,Project Portfolio Management (PPM) Digital Programme Management Office,390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/777569729758968,
1916,Cognizant Worldwide Limited,Hospital Control Centres and Patient Flow Optimization,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/457439167683021,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
1917,KPMG LLP,Intelligent Automation & Robotic Process Automation,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/375909581496999,KPMGLLP_341058641615377-sfia-rate-card-2022-05-17-1049.pdf
1918,North Highland,DevOps Strategy and Maturity Assessment for Cloud Services,"495 to 2,250 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/222021370296513,NorthHighland_522494869018764-sfia-rate-card-2022-05-18-0051.pdf
1919,PricewaterhouseCoopers (LLP) PwC,PwC Workday Implementation,"650 to 2,450 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/262200022406743,
1920,KPMG LLP,Cloud Value Lab,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/345751037492257,KPMGLLP_341058641615377-sfia-rate-card-2022-05-17-1049.pdf
1921,North Highland,Workplace Technology Strategy & Assessment for Cloud Services,"495 to 2,250 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/631720010559722,NorthHighland_522494869018764-sfia-rate-card-2022-05-18-0051.pdf
1922,Deloitte LLP,Transport and Mobility Analytics Platform,390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/613017230249525,
1923,Capgemini UK plc,Cloud Application Management,"26,500 an instance a month",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/867322886765242,
1924,Cognizant Worldwide Limited,Data Centre Assessment Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/520597467879405,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
1925,PricewaterhouseCoopers (LLP) PwC,PwC Integrated ERP & HCM Cloud Services,"650 to 2,450 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/111760426405122,
1926,Deloitte LLP,Cloud Organisational Transformation,390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/798005999351885,
1927,North Highland,Cloud Support Product Owner,"495 to 2,250 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/173620851726864,NorthHighland_522494869018764-sfia-rate-card-2022-05-18-0051.pdf
1928,KPMG LLP,Customer Journey Mapping/Consultancy,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/615366818476171,KPMGLLP_341058641615377-sfia-rate-card-2022-05-17-1049.pdf
1929,Cognizant Worldwide Limited,Power Platform CoE Implementation,"1,500 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/510986150718629,CognizantWorldwideLimited_157552930737303-sfia-rate-card-2022-05-10-1430.pdf
1930,Capgemini UK plc,Case Management – Configuration Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/488794338942057,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
1931,PricewaterhouseCoopers (LLP) PwC,PwC Perform Plus Performance Improvement Programme,"650 to 2,450 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/954227113374085,
1932,North Highland,Rapid Portfolio Prioritisation,"495 to 2,250 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/429630940103238,NorthHighland_522494869018764-sfia-rate-card-2022-05-18-0051.pdf
1933,Cognizant Worldwide Limited,Master Data Management Advisory Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/516653302617116,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
1934,Deloitte LLP,Cloud Finance Software Services,390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/295257353432663,
1935,Capgemini UK plc,Transformation Management Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/578127321885503,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
1936,KPMG LLP,Connected Student Experience - Higher Education,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/388898662917092,KPMGLLP_341058641615377-sfia-rate-card-2022-05-17-1049.pdf
1937,Deloitte LLP,"Data Governance Assessment, Design and Implementation",390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/623668608025103,
1938,North Highland,Digital Strategy,"495 to 2,250 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/959945135708952,NorthHighland_522494869018764-sfia-rate-card-2022-05-18-0051.pdf
1939,PricewaterhouseCoopers (LLP) PwC,Managed Cyber Defence,"650 to 4,200 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/200948751450275,
1940,Capgemini UK plc,DevOps Tool chain solutions with Atlassian,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/124249941025477,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
1941,KPMG LLP,Data Centre Assessment,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/286300671716581,KPMGLLP_341058641615377-sfia-rate-card-2022-05-17-1049.pdf
1942,Cognizant Worldwide Limited,Oracle EPM Cloud Setup & Migration Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/970216732705382,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
1943,Capgemini UK plc,Chatbot and Digital Assistants,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/275661671114932,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
1944,KPMG LLP,Cyber Forensic Investigations,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/269829001609429,KPMGLLP_341058641615377-sfia-rate-card-2022-05-17-1049.pdf
1945,North Highland,Workplace Technology Change Management for Cloud Services (CM),"495 to 2,250 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/216360469895631,NorthHighland_522494869018764-sfia-rate-card-2022-05-18-0051.pdf
1946,PricewaterhouseCoopers (LLP) PwC,PwC Workday Optimisation,"650 to 2,450 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/537202625334243,
1947,Deloitte LLP,Defence Enterprise Architecture,390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/660533922354666,
1948,Cognizant Worldwide Limited,Cloud Portals and Communities Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/180420237270035,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
1949,KPMG LLP,Technology Sourcing & Procurement,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/226026327593225,KPMGLLP_341058641615377-sfia-rate-card-2022-05-17-1049.pdf
1950,PricewaterhouseCoopers (LLP) PwC,PwC Ethical Hacking,"650 to 4,200 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/559448409809203,
1951,North Highland,Business Analysis Maturity Assessment,"495 to 2,250 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/636685133504174,NorthHighland_522494869018764-sfia-rate-card-2022-05-18-0051.pdf
1952,Cognizant Worldwide Limited,Business Intelligence Support Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/126178028745605,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
1953,Capgemini UK plc,Oracle Intelligent Supply Chain – Logistics,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/588306671503252,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
1954,Deloitte LLP,Cloud Based Supplier Risk Illumination,390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/959877581745130,
1955,KPMG LLP,Microsoft Dynamics 365 Support and Managed Service,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/752302734747694,KPMGLLP_341058641615377-sfia-rate-card-2022-05-17-1049.pdf
1956,PricewaterhouseCoopers (LLP) PwC,PwC Supply Chain Intelligence 1.0 Services,"650 to 2,450 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/835233755136254,
1957,North Highland,Target Operating Model Design,"495 to 2,250 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/674134027220683,NorthHighland_522494869018764-sfia-rate-card-2022-05-18-0051.pdf
1958,Capgemini UK plc,Web Testing Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/646382380143937,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
1959,Deloitte LLP,"RISE with SAP - Design, Planning, Integration, Implementation and Support",390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/592105212194506,
1960,Cognizant Worldwide Limited,Mobile Device Management,2.32 a device,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/912665781430477,
1961,KPMG LLP,"Digital Strategy, Evaluation and Implementation","360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/395688596845921,KPMGLLP_341058641615377-sfia-rate-card-2022-05-17-1049.pdf
1962,Capgemini UK plc,Cybersecurity - Web Application Firewall (WAF) - Design and Implementation,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/829715038504839,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
1963,PricewaterhouseCoopers (LLP) PwC,PwC Operate Managed Capacity Services,"455 to 1,660 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/248590210225149,
1964,North Highland,Agile Coaching,"495 to 2,250 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/675527448021580,NorthHighland_522494869018764-sfia-rate-card-2022-05-18-0051.pdf
1965,Deloitte LLP,Cloud Enabled Contract  & Legal Operating Model and Organisation Design,390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/239532757655068,
1966,Cognizant Worldwide Limited,Digital Experience Platforms (DxP) - Implementation & Support services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/421130484877740,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
1967,Softwire Technology Limited,Bespoke Cloud Consultancy,"750 to 1,750 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/828621051503688,SoftwireTechnologyLimited_828621051503688-sfia-rate-card-2022-05-16-0825.pdf
1968,PricewaterhouseCoopers (LLP) PwC,PwC Cloud Transformation Strategy and Planning Services,"650 to 2,450 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/271649193271176,
1969,Capgemini UK plc,"Intelligent Service Monitoring (ISM): Assessment, Design, Implementation, Run and Optimisation",312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/998608279464525,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
1970,KPMG LLP,Quality Engineering and Continuous Test Automation,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/806583677773788,KPMGLLP_341058641615377-sfia-rate-card-2022-05-17-1049.pdf
1971,Cognizant Worldwide Limited,API Management Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/375690567551459,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
1972,Deloitte LLP,"Oracle Analytics Cloud Design, Implementation & Support Services",390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/320737154189496,
1973,North Highland,Agile Transformation - Agile at Scale,"495 to 2,250 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/168415725811713,NorthHighland_522494869018764-sfia-rate-card-2022-05-18-0051.pdf
1974,PricewaterhouseCoopers (LLP) PwC,PwC SAP Successfactors: Human Capital Management Solution Services,"650 to 2,450 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/390507600328564,
1975,KPMG LLP,Procurement and Supply Chain Advisory Services,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/238340961444038,KPMGLLP_341058641615377-sfia-rate-card-2022-05-17-1049.pdf
1976,Deloitte LLP,Design and Implementation of a Workday Cloud Solution,390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/352996482971528,
1977,Cognizant Worldwide Limited,Microsoft Azure Cloud Migration and Implementation Service,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/827907053963053,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
1978,North Highland,Concept Development and Prototyping,"495 to 2,250 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/872219891844016,NorthHighland_522494869018764-sfia-rate-card-2022-05-18-0051.pdf
1979,PricewaterhouseCoopers (LLP) PwC,PwC Legacy Modernisation through Cloud Adoption,"650 to 2,450 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/769645085246775,
1980,KPMG LLP,Cloud Framework - Risk Management,"360 to 2,560 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/488890037085806,KPMGLLP_131143655173785-sfia-rate-card-2022-05-17-1008.pdf
1981,Cognizant Worldwide Limited,Data Integration and ETL Advisory Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/328349240149886,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
1982,Capgemini UK plc,SAP QA,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/100678768493150,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
1983,North Highland,Portfolio Management,"495 to 2,250 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/238782318900349,NorthHighland_522494869018764-sfia-rate-card-2022-05-18-0051.pdf
1984,Cognizant Worldwide Limited,Master Data Management Setup and Migration Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/902176073408721,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
1985,KPMG LLP,QA and Test Management,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/143929214113456,KPMGLLP_341058641615377-sfia-rate-card-2022-05-17-1049.pdf
1986,PricewaterhouseCoopers (LLP) PwC,PwC HCM & Payroll Cloud Implementation Services,"650 to 2,450 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/682208529388593,
1987,Capgemini UK plc,Industrialise your Atlassian Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/875397467659515,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
1988,North Highland,Discovery and User Research,"495 to 2,250 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/763737242133241,NorthHighland_522494869018764-sfia-rate-card-2022-05-18-0051.pdf
1989,Cognizant Worldwide Limited,Data Integration and ETL Proof Of Concept and Pilot Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/149625415343682,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
1990,Capgemini UK plc,Programme Management Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/467061050606107,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
1991,PricewaterhouseCoopers (LLP) PwC,PwC Identity & Access Management (IdAM) Services,"650 to 4,200 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/127614038349888,
1992,KPMG LLP,Digital Category Management,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/978459242010883,KPMGLLP_341058641615377-sfia-rate-card-2022-05-17-1049.pdf
1993,PricewaterhouseCoopers (LLP) PwC,PwC Data Migration Services,"650 to 2,450 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/371655592874186,
1994,Capgemini UK plc,IT Operating Model (ITOM) Design Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/652184024059731,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
1995,KPMG LLP,Cloud Cost Management,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/702889514658261,KPMGLLP_341058641615377-sfia-rate-card-2022-05-17-1049.pdf
1996,North Highland,Advanced Analytics: Unstructured and Social Media Analytics,"495 to 2,250 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/375846264105720,NorthHighland_522494869018764-sfia-rate-card-2022-05-18-0051.pdf
1997,Cognizant Worldwide Limited,Teamwork Security,3.85 a user,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/917338163305953,
1998,North Highland,PMO Maturity Assessment,"495 to 2,250 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/790602651285183,NorthHighland_522494869018764-sfia-rate-card-2022-05-18-0051.pdf
1999,Capgemini UK plc,Cognitive QA – AI Data Analytics,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/457496023609445,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
2000,PricewaterhouseCoopers (LLP) PwC,PwC Back Office ERP Enabled Transformation Services,"650 to 2,450 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/944249236248773,
2001,KPMG LLP,Cloud Sourcing Services,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/921435263263027,KPMGLLP_341058641615377-sfia-rate-card-2022-05-17-1049.pdf
2002,Cognizant Worldwide Limited,Cloud Workspace Services (Cloud VDI/ Virtual Desktop/Desktop as a Service),37.70 an instance a month,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/991936800176141,
2003,North Highland,Workforce Analytics and Adoption,"495 to 2,250 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/154191571965315,NorthHighland_522494869018764-sfia-rate-card-2022-05-18-0051.pdf
2004,PricewaterhouseCoopers (LLP) PwC,PwC Cloud Integration Services,"650 to 2,450 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/516974425866853,
2005,Capgemini UK plc,Performance Management Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/248747579184997,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
2006,KPMG LLP,Cyber Security Strategy and Transformation,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/952124079236915,KPMGLLP_341058641615377-sfia-rate-card-2022-05-17-1049.pdf
2007,Cognizant Worldwide Limited,Quality Engineering Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/716798609271231,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
